17:53:46.870: Position 1: MS97
17:53:46.870: Position 2: ER85
17:53:46.870: Position 3: AV98
17:53:46.873: Position 4: MF73
17:53:46.873: Position 5: EK92
17:53:46.874: Position 6: JR67
17:53:46.874: Position 7: KZ20
17:53:46.875: Position 8: LU71
17:53:47.076: Message received: teamid,password,7,A4R8
17:53:47.076: Awarded: 0 pts
17:53:47.077: Message received: teamid,password,7,A4R8
17:53:47.077: Awarded: 0 pts
17:53:47.169: Message received: teamid,password,7,A4R8
17:53:47.170: Awarded: 0 pts
17:53:47.268: Message received: teamid,password,7,A4R8
17:53:47.270: Awarded: 0 pts
17:53:47.369: Message received: teamid,password,7,A4R8
17:53:47.371: Awarded: 0 pts
17:53:47.469: Message received: teamid,password,7,A4R8
17:53:47.470: Awarded: 0 pts
17:53:47.568: Message received: teamid,password,7,A4R8
17:53:47.570: Awarded: 0 pts
17:53:47.668: Message received: teamid,password,7,A4R8
17:53:47.670: Awarded: 0 pts
17:53:47.768: Message received: teamid,password,7,A4R8
17:53:47.770: Awarded: 0 pts
17:53:47.868: Message received: teamid,password,7,A4R8
17:53:47.869: Awarded: 0 pts
17:53:47.968: Message received: teamid,password,7,A4R8
17:53:47.969: Awarded: 0 pts
17:53:48.068: Message received: teamid,password,7,A4R8
17:53:48.069: Awarded: 0 pts
17:53:48.169: Message received: teamid,password,7,A4R8
17:53:48.170: Awarded: 0 pts
17:53:48.268: Message received: teamid,password,7,A4R8
17:53:48.270: Awarded: 0 pts
17:53:48.368: Message received: teamid,password,7,A4R8
17:53:48.369: Awarded: 0 pts
17:53:48.468: Message received: teamid,password,7,A4R8
17:53:48.476: Awarded: 0 pts
17:53:48.568: Message received: teamid,password,7,A4R8
17:53:48.570: Awarded: 0 pts
17:53:48.668: Message received: teamid,password,7,A4R8
17:53:48.669: Awarded: 0 pts
17:53:48.768: Message received: teamid,password,7,A4R8
17:53:48.770: Awarded: 0 pts
17:53:48.868: Message received: teamid,password,7,A4R8
17:53:48.869: Awarded: 0 pts
17:53:48.968: Message received: teamid,password,7,A4R8
17:53:48.969: Awarded: 0 pts
17:53:49.068: Message received: teamid,password,7,A4R8
17:53:49.070: Awarded: 0 pts
17:53:49.168: Message received: teamid,password,7,A4R8
17:53:49.169: Awarded: 0 pts
17:53:49.268: Message received: teamid,password,7,A4R8
17:53:49.269: Awarded: 0 pts
17:53:49.369: Message received: teamid,password,7,A4R8
17:53:49.370: Awarded: 0 pts
17:53:49.469: Message received: teamid,password,7,A4R8
17:53:49.471: Awarded: 0 pts
17:53:49.568: Message received: teamid,password,7,A4R8
17:53:49.570: Awarded: 0 pts
17:53:49.672: Message received: teamid,password,7,A4R8
17:53:49.674: Awarded: 0 pts
17:53:49.768: Message received: teamid,password,7,A4R8
17:53:49.770: Awarded: 0 pts
17:53:49.868: Message received: teamid,password,7,A4R8
17:53:49.870: Awarded: 0 pts
17:53:49.968: Message received: teamid,password,7,A4R8
17:53:49.970: Awarded: 0 pts
17:53:50.068: Message received: teamid,password,7,A4R8
17:53:50.071: Awarded: 0 pts
17:53:50.168: Message received: teamid,password,7,A4R8
17:53:50.170: Awarded: 0 pts
17:53:50.269: Message received: teamid,password,7,A4R8
17:53:50.271: Awarded: 0 pts
17:53:50.368: Message received: teamid,password,7,A4R8
17:53:50.370: Awarded: 0 pts
17:53:50.468: Message received: teamid,password,7,A4R8
17:53:50.470: Awarded: 0 pts
17:53:50.569: Message received: teamid,password,7,A4R8
17:53:50.571: Awarded: 0 pts
17:53:50.668: Message received: teamid,password,7,A4R8
17:53:50.670: Awarded: 0 pts
17:53:50.768: Message received: teamid,password,7,A4R8
17:53:50.770: Awarded: 0 pts
17:53:50.868: Message received: teamid,password,7,A4R8
17:53:50.871: Awarded: 0 pts
17:53:50.968: Message received: teamid,password,7,A4R8
17:53:50.970: Awarded: 0 pts
17:53:51.068: Message received: teamid,password,7,A4R8
17:53:51.069: Awarded: 0 pts
17:53:51.168: Message received: teamid,password,7,A4R8
17:53:51.170: Awarded: 0 pts
17:53:51.269: Message received: teamid,password,7,A4R8
17:53:51.271: Awarded: 0 pts
17:53:51.368: Message received: teamid,password,7,A4R8
17:53:51.370: Awarded: 0 pts
17:53:51.468: Message received: teamid,password,7,A4R8
17:53:51.470: Awarded: 0 pts
17:53:51.568: Message received: teamid,password,7,A4R8
17:53:51.570: Awarded: 0 pts
17:53:51.668: Message received: teamid,password,7,A4R8
17:53:51.670: Awarded: 0 pts
17:53:51.768: Message received: teamid,password,7,A4R8
17:53:51.770: Awarded: 0 pts
17:53:51.868: Message received: teamid,password,7,A4R8
17:53:51.871: Awarded: 0 pts
17:53:51.968: Message received: teamid,password,7,A4R8
17:53:51.971: Awarded: 0 pts
17:53:52.069: Message received: teamid,password,7,A4R8
17:53:52.071: Awarded: 0 pts
17:53:52.168: Message received: teamid,password,7,A4R8
17:53:52.171: Awarded: 0 pts
17:53:52.269: Message received: teamid,password,7,A4R8
17:53:52.271: Awarded: 0 pts
17:53:52.368: Message received: teamid,password,7,A4R8
17:53:52.370: Awarded: 0 pts
17:53:52.468: Message received: teamid,password,7,A4R8
17:53:52.471: Awarded: 0 pts
17:53:52.568: Message received: teamid,password,7,A4R8
17:53:52.571: Awarded: 0 pts
17:53:52.669: Message received: teamid,password,7,A4R8
17:53:52.671: Awarded: 0 pts
17:53:52.769: Message received: teamid,password,7,A4R8
17:53:52.777: Awarded: 0 pts
17:53:52.868: Message received: teamid,password,7,A4R8
17:53:52.870: Awarded: 0 pts
17:53:52.968: Message received: teamid,password,7,A4R8
17:53:52.971: Awarded: 0 pts
17:53:53.069: Message received: teamid,password,7,A4R8
17:53:53.072: Awarded: 0 pts
17:53:53.168: Message received: teamid,password,7,A4R8
17:53:53.171: Awarded: 0 pts
17:53:53.269: Message received: teamid,password,7,A4R8
17:53:53.271: Awarded: 0 pts
17:53:53.368: Message received: teamid,password,7,A4R8
17:53:53.370: Awarded: 0 pts
17:53:53.469: Message received: teamid,password,7,A4R8
17:53:53.471: Awarded: 0 pts
17:53:53.569: Message received: teamid,password,7,A4R8
17:53:53.572: Awarded: 0 pts
17:53:53.669: Message received: teamid,password,7,A4R8
17:53:53.671: Awarded: 0 pts
17:53:53.768: Message received: teamid,password,7,A4R8
17:53:53.771: Awarded: 0 pts
17:53:53.868: Message received: teamid,password,7,A4R8
17:53:53.870: Awarded: 0 pts
17:53:53.968: Message received: teamid,password,7,A4R8
17:53:53.971: Awarded: 0 pts
17:53:54.068: Message received: teamid,password,7,A4R8
17:53:54.071: Awarded: 0 pts
17:53:54.169: Message received: teamid,password,7,A4R8
17:53:54.171: Awarded: 0 pts
17:53:54.268: Message received: teamid,password,7,A4R8
17:53:54.271: Awarded: 0 pts
17:53:54.369: Message received: teamid,password,7,A4R8
17:53:54.372: Awarded: 0 pts
17:53:54.469: Message received: teamid,password,7,A4R8
17:53:54.471: Awarded: 0 pts
17:53:54.569: Message received: teamid,password,7,A4R8
17:53:54.571: Awarded: 0 pts
17:53:54.668: Message received: teamid,password,7,A4R8
17:53:54.671: Awarded: 0 pts
17:53:54.769: Message received: teamid,password,7,A4R8
17:53:54.771: Awarded: 0 pts
17:53:54.869: Message received: teamid,password,7,A4R8
17:53:54.872: Awarded: 0 pts
17:53:54.969: Message received: teamid,password,7,A4R8
17:53:54.971: Awarded: 0 pts
17:53:55.069: Message received: teamid,password,7,A4R8
17:53:55.071: Awarded: 0 pts
17:53:55.168: Message received: teamid,password,7,A4R8
17:53:55.171: Awarded: 0 pts
17:53:55.268: Message received: teamid,password,7,A4R8
17:53:55.270: Awarded: 0 pts
17:53:55.368: Message received: teamid,password,7,A4R8
17:53:55.371: Awarded: 0 pts
17:53:55.468: Message received: teamid,password,7,A4R8
17:53:55.471: Awarded: 0 pts
17:53:55.568: Message received: teamid,password,7,A4R8
17:53:55.571: Awarded: 0 pts
17:53:55.668: Message received: teamid,password,7,A4R8
17:53:55.670: Awarded: 0 pts
17:53:55.768: Message received: teamid,password,7,A4R8
17:53:55.771: Awarded: 0 pts
17:53:55.869: Message received: teamid,password,7,A4R8
17:53:55.871: Awarded: 0 pts
17:53:55.969: Message received: teamid,password,7,A4R8
17:53:55.971: Awarded: 0 pts
17:53:56.068: Message received: teamid,password,7,A4R8
17:53:56.069: Awarded: 0 pts
17:53:56.169: Message received: teamid,password,7,A4R8
17:53:56.171: Awarded: 0 pts
17:53:56.268: Message received: teamid,password,7,A4R8
17:53:56.271: Awarded: 0 pts
17:53:56.368: Message received: teamid,password,7,A4R8
17:53:56.369: Awarded: 0 pts
17:53:56.468: Message received: teamid,password,7,A4R8
17:53:56.470: Awarded: 0 pts
17:53:56.568: Message received: teamid,password,7,A4R8
17:53:56.571: Awarded: 0 pts
17:53:56.668: Message received: teamid,password,7,A4R8
17:53:56.670: Awarded: 0 pts
17:53:56.768: Message received: teamid,password,7,A4R8
17:53:56.769: Awarded: 0 pts
17:53:56.868: Message received: teamid,password,7,A4R8
17:53:56.868: Awarded: 0 pts
17:53:56.969: Message received: teamid,password,7,A4R8
17:53:56.971: Awarded: 0 pts
17:53:57.069: Message received: teamid,password,7,A4R8
17:53:57.071: Awarded: 0 pts
17:53:57.169: Message received: teamid,password,7,A4R8
17:53:57.170: Awarded: 0 pts
17:53:57.269: Message received: teamid,password,7,A4R8
17:53:57.270: Awarded: 0 pts
17:53:57.369: Message received: teamid,password,7,A4R8
17:53:57.371: Awarded: 0 pts
17:53:57.468: Message received: teamid,password,7,A4R8
17:53:57.470: Awarded: 0 pts
17:53:57.569: Message received: teamid,password,7,A4R8
17:53:57.570: Awarded: 0 pts
17:53:57.668: Message received: teamid,password,7,A4R8
17:53:57.670: Awarded: 0 pts
17:53:57.768: Message received: teamid,password,7,A4R8
17:53:57.774: Awarded: 0 pts
17:53:57.868: Message received: teamid,password,7,A4R8
17:53:57.870: Awarded: 0 pts
17:53:57.968: Message received: teamid,password,7,A4R8
17:53:57.970: Awarded: 0 pts
17:53:58.069: Message received: teamid,password,7,A4R8
17:53:58.071: Awarded: 0 pts
17:53:58.168: Message received: teamid,password,7,A4R8
17:53:58.170: Awarded: 0 pts
17:53:58.268: Message received: teamid,password,7,A4R8
17:53:58.269: Awarded: 0 pts
17:53:58.368: Message received: teamid,password,7,A4R8
17:53:58.370: Awarded: 0 pts
17:53:58.468: Message received: teamid,password,7,A4R8
17:53:58.469: Awarded: 0 pts
17:53:58.568: Message received: teamid,password,7,A4R8
17:53:58.569: Awarded: 0 pts
17:53:58.668: Message received: teamid,password,7,A4R8
17:53:58.671: Awarded: 0 pts
17:53:58.768: Message received: teamid,password,7,A4R8
17:53:58.771: Awarded: 0 pts
17:53:58.868: Message received: teamid,password,7,A4R8
17:53:58.869: Awarded: 0 pts
17:53:58.968: Message received: teamid,password,7,A4R8
17:53:58.969: Awarded: 0 pts
17:53:59.068: Message received: teamid,password,7,A4R8
17:53:59.071: Awarded: 0 pts
